tmdbId,type,Name,Budget,Revenue,Original_Lang,Runtime,Adult,Actor_1,Actor_2,Director
9504,movie,Glengarry Glen Ross,12500000,10725228,en,100,FALSE,Al Pacino,Jack Lemmon,James Foley
15764,movie,Sophie's Choice,12000000,30000000,en,151,FALSE,Meryl Streep,Kevin Kline,Alan J. Pakula
601,movie,E.T. the Extra-Terrestrial,10500000,792965500,en,115,FALSE,Henry Thomas,Drew Barrymore,Steven Spielberg
25842,movie,A Christmas Carol,0,0,en,69,FALSE,Reginald Owen,Gene Lockhart,Edwin L. Marin
2119,movie,Days of Thunder,60000000,157920733,en,107,FALSE,Tom Cruise,Robert Duvall,Tony Scott
744,movie,Top Gun,15000000,356830601,en,110,FALSE,Tom Cruise,Kelly McGillis,Tony Scott
221,movie,Rebel Without a Cause,1500000,4500000,en,111,FALSE,James Dean,Natalie Wood,Nicholas Ray
702,movie,A Streetcar Named Desire,1800000,8000000,en,125,FALSE,Vivien Leigh,Kim Hunter,Elia Kazan
25750,movie,Children of the Corn IV: The Gathering,0,0,en,85,FALSE,Naomi Watts,Jamie Renée Smith,Greg Spence
9305,movie,Microcosmos,5767155,1433008,fr,80,FALSE,Jacques Perrin,Kristin Scott Thomas,No Director
37616,movie,Palookaville,315230,0,en,92,FALSE,William Forsythe,Vincent Gallo,Alan Taylor
21612,movie,The Funeral,12500000,1227324,en,99,FALSE,Christopher Walken,Chris Penn,Abel Ferrara
102461,movie,A Single Girl,0,0,fr,90,FALSE,Virginie Ledoyen,Benoît Magimel,Benoît Jacquot
36998,movie,The Eighth Day,0,0,fr,118,FALSE,Daniel Auteuil,Pascal Duquenne,Jaco Van Dormael
116844,movie,Drunks,0,0,en,90,FALSE,Richard Lewis,Amanda Plummer,Peter Cohn
1630,movie,The People vs. Larry Flynt,36000000,20300385,en,130,FALSE,Woody Harrelson,Courtney Love,Miloš Forman
26626,movie,Glory Daze,0,0,en,100,FALSE,Ben Affleck,Sam Rockwell,Rich Wilkes
124837,movie,A Perfect Candidate,0,0,en,105,FALSE,Don Baker,Mark Goodin,No Director
11816,movie,On Golden Pond,15000000,119285432,en,109,FALSE,Katharine Hepburn,Henry Fonda,Mark Rydell
11843,movie,The Return of the Pink Panther,5000000,41833347,en,113,FALSE,Peter Sellers,Christopher Plummer,Blake Edwards
10379,movie,Drop Dead Fred,6788000,13878334,en,103,FALSE,Phoebe Cates,Rik Mayall,Ate de Jong
2756,movie,The Abyss,70000000,90000098,en,140,FALSE,Ed Harris,Mary Elizabeth Mastrantonio,James Cameron
790,movie,The Fog,1000000,21448830,en,89,FALSE,Adrienne Barbeau,Hal Holbrook,John Carpenter
1103,movie,Escape from New York,6000000,50244700,en,99,FALSE,Kurt Russell,Lee Van Cleef,John Carpenter
11298,movie,The Howling,1000000,17985893,en,91,FALSE,Dee Wallace,Patrick Macnee,Joe Dante
4480,movie,Jean de Florette,4940939,0,fr,120,FALSE,Yves Montand,Gérard Depardieu,Claude Berri
4481,movie,Manon of the Spring,0,0,fr,113,FALSE,Yves Montand,Daniel Auteuil,Claude Berri
10765,movie,Private Benjamin,15000000,69800000,en,110,FALSE,Goldie Hawn,Eileen Brennan,Howard Zieff
762,movie,Monty Python and the Holy Grail,400000,5000000,en,91,FALSE,Graham Chapman,John Cleese,No Director
44497,movie,Hustler White,0,127251,en,79,FALSE,Tony Ward,Bruce LaBruce,No Director
99479,movie,Entertaining Angels: The Dorothy Day Story,0,711872,en,112,FALSE,Moira Kelly,Heather Graham,Michael Ray Rhodes
124829,movie,The Line King: The Al Hirschfeld Story,0,0,en,86,FALSE,Al Hirschfeld,Lauren Bacall,Susan W. Dryfoos
10548,movie,When We Were Kings,0,2666118,en,89,FALSE,Muhammad Ali,George Foreman,Leon Gast
531,movie,The Wrong Trousers,0,0,en,30,FALSE,Peter Sallis,No Actor,Nick Park
4483,movie,The Return of Martin Guerre,0,0,fr,107,FALSE,Gérard Depardieu,Nathalie Baye,Daniel Vigne
18919,movie,Faust,0,0,cs,97,FALSE,Petr Čepek,Jan Kraus,Jan Švankmajer
61461,movie,The Children Are Watching Us,0,0,it,84,FALSE,Emilio Cigoli,Isa Pola,Vittorio De Sica
659,movie,The Tin Drum,0,0,de,162,FALSE,Mario Adorf,Angela Winkler,Volker Schlöndorff
30892,movie,The Ruling Class,0,0,en,154,FALSE,Peter O'Toole,Alastair Sim,Peter Medak
86369,movie,Mina Tannenbaum,0,0,fr,128,FALSE,Romane Bohringer,Elsa Zylberstein,Martine Dugowson
38554,movie,Dear God,0,0,en,112,FALSE,Greg Kinnear,Laurie Metcalf,Garry Marshall
36555,movie,Best of the Best 3: No Turning Back,0,0,en,90,FALSE,Phillip Rhee,Christopher McDonald,Phillip Rhee
10608,movie,Bob Roberts,3900000,8000000,en,102,FALSE,Tim Robbins,Giancarlo Esposito,Tim Robbins
11216,movie,Cinema Paradiso,5000000,11990401,it,124,FALSE,Philippe Noiret,Jacques Perrin,Giuseppe Tornatore
7452,movie,"The Cook, the Thief, His Wife & Her Lover",2300000,7724701,en,124,FALSE,Richard Bohringer,Michael Gambon,Peter Greenaway
892,movie,Delicatessen,4000000,1794187,fr,99,FALSE,Dominique Pinon,Marie-Laure Dougnac,No Director
1600,movie,The Double Life of Véronique,0,1999955,fr,98,FALSE,Irène Jacob,Halina Gryglaszewska,Krzysztof Kieślowski
26561,movie,Enchanted April,0,13200170,en,89,FALSE,Miranda Richardson,Josie Lawrence,Mike Newell
975,movie,Paths of Glory,935000,0,en,88,FALSE,Kirk Douglas,Ralph Meeker,Stanley Kubrick
